абдикувати | абдикую | абдикував
бібікати | бібікаю | бібікав
бібліографувати | бібліографую | бібліографував
бігати | бігаю | бігав
бігти | біжу | біг
бідкувати | бідкую | бідкував
бідніти | біднію | біднів
біднішати | біднішаю | біднішав
бідувати | бідую | бідував
білити | білю | білив
біліти | білію | білів
білішати | білішаю | білішав
білувати | білую | білував
більшати | більшаю | більшав
більшовизувати | більшовизую | більшовизував
бісити | бішу | бісив
бісувати | бісую | бісував
бічувати | бічую | бічував
благати | благаю | благав
благовістити | благовіщу | благовістив
благовістувати | благовістую | благовістував
благоволити | благоволю | благоволив
благоденствувати | благоденствую | благоденствував
благозволити | благозволю | благозволив
благословити | благословлю | благословив
благословляти | благословляю | благословляв
блаженствувати | блаженствую | блаженствував
блазнювати | блазнюю | блазнював
блакитніти | блакитнію | блакитнів
блакитнішати | блакитнішаю | блакитнішав
бланшувати | бланшую | бланшував
блефонути | блефону | блефонув
блефувати | блефую | блефував
блеяти | блею | блеяв
ближчати | ближчаю | ближчав
близити | ближу | близив
бликати | бликаю | бликав
бликнути | бликну | бликнув
блимати | блимаю | блимав
блимнути | блимну | блимнув
блимотіти | блимочу | блимотів
блискати | блискаю | блискав
блисконути | блискону | блисконув
блискотати | блискочу | блискотав
блискотіти | блискочу | блискотів
блиснути | блисну | блиснув
блищати | блищу | блищав
блідніти | бліднію | бліднів
бліднішати | бліднішаю | бліднішав
бліднути | блідну | блід
бліндажувати | бліндажую | бліндажував
блокувати | блокую | блокував
блудити | блуджу | блудив
блудодіяти | блудодію | блудодіяв
блукати | блукаю | блукав
блювати | блюю | блював
блюзнити | блюзню | блюзнив
блюзнірствувати | блюзнірствую | блюзнірствував
блюзнути | блюзну | блюзнув
блюнути | блюну | блюнув
блявкати | блявкаю | блявкав
блякнути | блякну | бляк
бляхувати | бляхую | бляхував
бовваніти | бовванію | бовванів
бовкати | бовкаю | бовкав
бовкнути | бовкну | бовкнув
бовтати | бовтаю | бовтав
бовтнути | бовтну | бовтнув
богословствувати | богословствую | богословствував
боготворити | боготворю | боготворив
богохулити | богохулю | богохулив
богохульствувати | богохульствую | богохульствував
богувати | богую | богував
божеволіти | божеволію | божеволів
божествити | божествлю | божествив
божкати | божкаю | божкав
бойкотувати | бойкотую | бойкотував
боксувати | боксую | боксував
бокувати | бокую | бокував
бомбанути | бомбану | бомбанув
бомбардувати | бомбардую | бомбардував
бомбити | бомблю | бомбив
бомбувати | бомбую | бомбував
бомжувати | бомжую | бомжував
бомкати | бомкаю | бомкав
бомкнути | бомкну | бомкнув
бондарювати | бондарюю | бондарював
бонітувати | бонітую | бонітував
боргувати | боргую | боргував
боркати | боркаю | боркав
бормотати | бормочу | бормотав
бормотіти | бормочу | бормотів
бороздити | борожджу | бороздив
борознити | борозню | борознив
борознувати | борозную | борознував
боронити | бороню | боронив
боронувати | бороную | боронував
бороти | борю | боров
борсати | борсаю | борсав
бортникувати | бортникую | бортникував
борувати | борую | борував
босякувати | босякую | босякував
ботанізувати | ботанізую | ботанізував
бравувати | бравую | бравував
бракнути | - | -
браконьєрити | браконьєрю | браконьєрив
браконьєрствувати | браконьєрствую | браконьєрствував
бракувати | бракую | бракував
братати | братаю | братав
брати | беру | брав
брезкнути | брезкну | брезк
брендувати | брендую | брендував
бреніти | бреню | бренів
бренькати | бренькаю | бренькав
бренькнути | бренькну | бренькнув
бренькотіти | бренькочу | бренькотів
брести | бреду | брів
брехати | брешу | брехав
брехнути | брехну | брехнув
бригадирствувати | бригадирствую | бригадирствував
бридити | бриджу | бридив
брижити | брижу | брижив
брижувати | брижую | брижував
бризкати | бризкаю | бризкав
бризнути | бризну | бризнув
брикати | брикаю | брикав
брикетувати | брикетую | брикетував
брикнути | брикну | брикнув
бриніти | бриню | бринів
бринькати | бринькаю | бринькав
бринькнути | бринькну | бринькнув
бринькотіти | бринькочу | бринькотів
бриньчати | бриньчу | бриньчав
брити | брию | брив
брифінгувати | брифінгую | брифінгував
бришкати | бришкаю | бришкав
броварювати | броварюю | броварював
бродити | броджу | бродив
бродяжити | бродяжу | бродяжив
бромувати | бромую | бромував
бронзовіти | бронзовію | бронзовів
бронзувати | бронзую | бронзував
бронювати | бронюю | бронював
брошурувати | брошурую | брошурував
бруднити | брудню | бруднив
брудніти | бруднію | бруднів
брукувати | брукую | брукував
брунькувати | брунькую | брунькував
брусувати | брусую | брусував
бруталізувати | бруталізую | бруталізував
брьохати | брьохаю | брьохав
брьохнути | брьохну | брьохнув
бряжчати | бряжчу | бряжчав
брязкати | брязкаю | брязкав
брязкнути | брязкну | брязкнув
брязкотати | брязкочу | брязкотав
брязкотіти | брязкочу | брязкотів
брязнути | брязну | брязнув
брязчати | брязчу | брязчав
брякати | брякаю | брякав
брякнути | брякну | брякнув
бубнити | бубню | бубнив
бубніти | бубню | бубнів
бубнявіти | бубнявію | бубнявів
бубоніти | бубоню | бубонів
буботати | бубочу | буботав
буботіти | бубочу | буботів
бувати | буваю | бував
будити | буджу | будив
будоражити | будоражу | будоражив
будувати | будую | будував
бужувати | бужую | бужував
бузувірствувати | бузувірствую | бузувірствував
буйніти | буйнію | буйнів
буйнішати | буйнішаю | буйнішав
букерувати | букерую | букерував
букетувати | букетую | букетував
буксирувати | буксирую | буксирував
буксувати | буксую | буксував
букувати | букую | букував
булькати | булькаю | булькав
булькнути | булькну | булькнув
булькотати | булькочу | булькотав
булькотіти | булькочу | булькотів
бумкати | бумкаю | бумкав
бункерувати | бункерую | бункерував
бунтувати | бунтую | бунтував
буравити | буравлю | буравив
бурботіти | бурбочу | бурботів
буріти | бурію | бурів
буркати | буркаю | буркав
буркнути | буркну | буркнув
буркотати | буркочу | буркотав
буркотіти | буркочу | буркотів
буркотнути | буркотну | буркотнув
бурлакувати | бурлакую | бурлакував
бурлачити | бурлачу | бурлачив
бурлити | бурлю | бурлив
бурмиструвати | бурмиструю | бурмистрував
бурмотати | бурмочу | бурмотав
бурмотіти | бурмочу | бурмотів
буртувати | буртую | буртував
бурувати | бурую | бурував
бурунити | - | бурунив
бурхати | бурхаю | бурхав
бурхнути | бурхну | бурхнув
бурхотати | бурхочу | бурхотав
бурхотіти | бурхочу | бурхотів
бурчати | бурчу | бурчав
буряковіти | буряковію | буряковів
бур'яніти | бур'янію | бур'янів
бути | є | був
бутинувати | бутиную | бутинував
бутити | бучу | бутив
буферизувати | буферизую | буферизував
бухати | бухаю | бухав
бухикати | бухикаю | бухикав
бухикнути | бухикну | бухикнув
бухкати | бухкаю | бухкав
бухкотіти | бухкочу | бухкотів
бухнути | бухну | бухнув
бухтіти | бухчу | бухтів
буцати | буцаю | буцав
буцкати | буцкаю | буцкав
буцнути | буцну | буцнув
бучавіти | бучавію | бучавів
бучити | бучу | бучив
бушувати | бушую | бушував
буянити | буяню | буянив
буяніти | буянію | буянів
буяти | буяю | буяв
бюрократизувати | бюрократизую | бюрократизував
вабити | ваблю | вабив
вагітніти | вагітнію | вагітнів
вагоніти | вагоню | вагонів
вадити | ваджу | вадив
важити | важу | важив
важніти | важнію | важнів
важчати | важчаю | важчав
вайкати | вайкаю | вайкав
вайкотіти | вайкочу | вайкотів
ваксувати | ваксую | ваксував
вакувати | вакую | вакував
вакуолізувати | вакуолізую | вакуолізував
вакуумувати | вакуумую | вакуумував
вакцинувати | вакциную | вакцинував
валашати | валашаю | валашав
валити | валю | валив
валкувати | валкую | валкував
валувати | валую | валував
валькувати | валькую | валькував
вальнути | вальну | вальнув
вальсувати | вальсую | вальсував
вальцювати | вальцюю | вальцював
валяти | валяю | валяв
вампірити | вампірю | вампірив
вандалізувати | вандалізую | вандалізував
вантажити | вантажу | вантажив
вапнити | вапню | вапнив
вапнувати | вапную | вапнував
варзякати | варзякаю | варзякав
варити | варю | варив
варіювати | варіюю | варіював
варнякати | варнякаю | варнякав
вартувати | вартую | вартував
вар'ювати | вар'юю | вар'ював
васкуляризувати | васкуляризую | васкуляризував
ватагувати | ватагую | ватагував
ватажити | ватажу | ватажив
ватажкувати | ватажкую | ватажкував
ватажникувати | ватажникую | ватажникував
ватерпасити | ватерпашу | ватерпасив
ватувати | ватую | ватував
вацюкати | вацюкаю | вацюкав
вбабахати | вбабахаю | вбабахав
вбачати | вбачаю | вбачав
вбачити | вбачу | вбачив
вбгати | вбгаю | вбгав
вбезпечити | вбезпечу | вбезпечив
вбезпечувати | вбезпечую | вбезпечував
вберегти | вбережу | вберіг
вберігати | вберігаю | вберігав
вбивати | вбиваю | вбивав
вбирати | вбираю | вбирав
вбити | вб'ю | вбив
вбігати | вбігаю | вбігав
вбігти | вбіжу | вбіг
вбілити | вбілю | вбілив
вбілювати | вбілюю | вбілював
вбіляти | вбіляю | вбіляв
вблагати | вблагаю | вблагав
вбожіти | вбожію | вбожів
вбожішати | вбожішаю | вбожішав
вболівати | вболіваю | вболівав
вборонити | вбороню | вборонив
вбрати | вберу | вбрав
вбрести | вбреду | вбрів
вбризкати | вбризкаю | вбризкав
вбризкувати | вбризкую | вбризкував
вбризнути | вбризну | вбризнув
вбрикнути | вбрикну | вбрикнув
вбрукувати | вбрукую | вбрукував
вбувати | вбуваю | вбував
вбудовувати | вбудовую | вбудовував
вбудувати | вбудую | вбудував
вбути | вбую | вбув
вбухати | вбухаю | вбухав
вбухнути | вбухну | вбухнув
вбухувати | вбухую | вбухував
вважати | вважаю | вважав
вважити | вважу | вважив
ввалити | ввалю | ввалив
ввалювати | ввалюю | ввалював
вваляти | вваляю | вваляв
вварити | вварю | вварив
вварювати | вварюю | вварював
ввезти | ввезу | ввіз
ввергати | ввергаю | ввергав
ввергнути | ввергну | ввергнув
ввергти | ввергну | вверг
ввернути | вверну | ввернув
вверстати | вверстаю | вверстав
вверстувати | вверстую | вверстував
ввертати | ввертаю | ввертав
ввертіти | вверчу | ввертів
ввести | введу | ввів
ввивати | ввиваю | ввивав
ввити | ввию | ввив
ввібгати | ввібгаю | ввібгав
ввібрати | вберу | ввібрав
ввігнати | вжену | ввігнав
ввігнути | ввігну | ввігнув
ввізвати | ввізву | ввізвав
ввійти | ввійду | ввійшов
ввілляти | ввіллю | ввілляв
ввільнити | ввільню | ввільнив
ввільняти | ввільняю | ввільняв
ввімкнути | ввімкну | ввімкнув
ввіпхати | ввіпхаю | ввіпхав
ввіпхнути | ввіпхну | ввіпхнув
ввірвати | ввірву | ввірвав
ввірити | ввірю | ввірив
ввірувати | ввірую | ввірував
ввірчувати | ввірчую | ввірчував
ввіряти | ввіряю | ввіряв
ввіссати | ввіссу | ввіссав
ввіткати | ввітчу | ввіткав
ввіткнути | ввіткну | ввіткнув
ввіходити | ввіходжу | ввіходив
ввічнити | ввічню | ввічнив
ввічнювати | ввічнюю | ввічнював
вводити | вводжу | вводив
ввозити | ввожу | ввозив
вволити | вволю | вволив
вволікати | вволікаю | вволікав
вволокти | вволочу | вволік
вволювати | вволюю | вволював
вволяти | вволяю | вволяв
вв'язати | вв'яжу | вв'язав
вв'язувати | вв'язую | вв'язував
вгавати | вгаваю | вгавав
вгадати | вгадаю | вгадав
вгадувати | вгадую | вгадував
вгамовувати | вгамовую | вгамовував
вгамселити | вгамселю | вгамселив
вгамувати | вгамую | вгамував
вганяти | вганяю | вганяв
вгасати | вгасаю | вгасав
вгасити | вгашу | вгасив
вгаснути | вгасну | вгас
вгатити | вгачу | вгатив
вгахати | вгахаю | вгахав
вгачувати | вгачую | вгачував
вгашати | вгашаю | вгашав
вгаювати | вгаюю | вгаював
вгаяти | вгаю | вгаяв
вгвинтити | вгвинчу | вгвинтив
вгвинчувати | вгвинчую | вгвинчував
вгепати | вгеплю | вгепав
вгинати | вгинаю | вгинав
вгледіти | вгледжу | вгледів
вглибити | вглиблю | вглибив
вглиблювати | вглиблюю | вглиблював
вглибляти | вглибляю | вглибляв
вглядіти | вгляджу | вглядів
вгнати | вжену | вгнав
вгнівити | вгнівлю | вгнівив
вгніздити | вгніжджу | вгніздив
вгноїти | вгною | вгноїв
вгноювати | вгноюю | вгноював
вгнути | вгну | вгнув
вговкати | вговкаю | вговкав
вговкувати | вговкую | вговкував
вговорити | вговорю | вговорив
вговорювати | вговорюю | вговорював
вговтати | вговтаю | вговтав
вговтувати | вговтую | вговтував
вгоджати | вгоджаю | вгоджав
вгодити | вгоджу | вгодив
вгодовувати | вгодовую | вгодовував
вгодувати | вгодую | вгодував
вголити | вголю | вголив
вгомонити | вгомоню | вгомонив
вгомонювати | вгомонюю | вгомонював
вгомоняти | вгомоняю | вгомоняв
вгонити | вгоню | вгонив
вгонобити | вгоноблю | вгонобив
вгонобляти | вгонобляю | вгонобляв
вгоріти | вгорю | вгорів
вгорнути | вгорну | вгорнув
вгороджувати | вгороджую | вгороджував
вгородити | вгороджу | вгородив
вгортати | вгортаю | вгортав
вгоряти | вгоряю | вгоряв
вгостити | вгощу | вгостив
вготовити | вготовлю | вготовив
вготовляти | вготовляю | вготовляв
вготувати | вготую | вготував
вгощати | вгощаю | вгощав
вгощувати | вгощую | вгощував
вграти | вграю | вграв
вгребти | вгребу | вгріб
вгризати | вгризаю | вгризав
вгризнути | вгризну | вгризнув
вгризти | вгризу | вгриз
вгрібати | вгрібаю | вгрібав
вгрівати | вгріваю | вгрівав
вгріти | вгрію | вгрів
вгробити | вгроблю | вгробив
вгрузати | вгрузаю | вгрузав
вгрузнути | вгрузну | вгрузнув
вгрузти | вгрузну | вгруз
вдавати | вдаю | вдавав
вдавити | вдавлю | вдавив
вдавлювати | вдавлюю | вдавлював
вдарити | вдарю | вдарив
вдарувати | вдарую | вдарував
вдаряти | вдаряю | вдаряв
вдати | вдам | вдав
вдекорувати | вдекорую | вдекорував
вдержати | вдержу | вдержав
вдержувати | вдержую | вдержував
вдерти | вдеру | вдер
вджиґнути | вджиґну | вджиґнув
вдихати | вдихаю | вдихав
вдихнути | вдихну | вдихнув
вдихувати | вдихую | вдихував
вдіти | вдіну | вдів
вдіяти | вдію | вдіяв
вдмухати | вдмухаю | вдмухав
вдмухнути | вдмухну | вдмухнув
вдмухувати | вдмухую | вдмухував
вдобрити | вдобрю | вдобрив
вдобрювати | вдобрюю | вдобрював
вдобряти | вдобряю | вдобряв
вдовбати | вдовбаю | вдовбав
вдовбувати | вдовбую | вдовбував
вдовільняти | вдовільняю | вдовільняв
вдовіти | вдовію | вдовів
вдоволити | вдоволю | вдоволив
вдовольнити | вдовольню | вдовольнив
вдовольняти | вдовольняю | вдовольняв
вдоволяти | вдоволяю | вдоволяв
вдовувати | вдовую | вдовував
вдоїти | вдою | вдоїв
вдосконалити | вдосконалю | вдосконалив
вдосконалювати | вдосконалюю | вдосконалював
вдоювати | вдоюю | вдоював
вдруковувати | вдруковую | вдруковував
вдрукувати | вдрукую | вдрукував
вдряпнути | вдряпну | вдряпнув
вдувати | вдуваю | вдував
вдудлити | вдудлю | вдудлив
вдунути | вдуну | вдунув
вдуріти | вдурію | вдурів
вдути | вдму | вдув
вдушити | вдушу | вдушив
вдягати | вдягаю | вдягав
вдягнути | вдягну | вдягнув
вдягти | вдягну | вдяг
вегетувати | вегетую | вегетував
везти | везу | віз
векати | векаю | векав
векнути | векну | векнув
векторизувати | векторизую | векторизував
величати | величаю | величав
веліти | велю | велів
